League;Date;Get;Pay;Value;Confidence
Blight;2019-09-19;Armourer's Scrap;Chaos Orb;0.07143;High
Blight;2019-09-20;Armourer's Scrap;Chaos Orb;0.06302;High
Blight;2019-09-21;Armourer's Scrap;Chaos Orb;0.05827;High
Blight;2019-09-22;Armourer's Scrap;Chaos Orb;0.0581;High
Blight;2019-09-23;Armourer's Scrap;Chaos Orb;0.05992;High
Blight;2019-09-24;Armourer's Scrap;Chaos Orb;0.0625;High
Blight;2019-09-25;Armourer's Scrap;Chaos Orb;0.05689;High
Blight;2019-09-26;Armourer's Scrap;Chaos Orb;0.05882;High
Blight;2019-09-27;Armourer's Scrap;Chaos Orb;0.06238;High
Blight;2019-09-28;Armourer's Scrap;Chaos Orb;0.06125;High
Blight;2019-09-29;Armourer's Scrap;Chaos Orb;0.05875;High
Blight;2019-09-30;Armourer's Scrap;Chaos Orb;0.05979;High
Blight;2019-10-01;Armourer's Scrap;Chaos Orb;0.06034;High
Blight;2019-10-02;Armourer's Scrap;Chaos Orb;0.05882;High
Blight;2019-10-03;Armourer's Scrap;Chaos Orb;0.0625;High
Blight;2019-10-04;Armourer's Scrap;Chaos Orb;0.06148;High
Blight;2019-10-05;Armourer's Scrap;Chaos Orb;0.06151;High
Blight;2019-10-06;Armourer's Scrap;Chaos Orb;0.06035;High
Blight;2019-10-07;Armourer's Scrap;Chaos Orb;0.05882;High
Blight;2019-10-08;Armourer's Scrap;Chaos Orb;0.05882;High
Blight;2019-10-09;Armourer's Scrap;Chaos Orb;0.06111;High
Blight;2019-10-10;Armourer's Scrap;Chaos Orb;0.06137;High
Blight;2019-10-11;Armourer's Scrap;Chaos Orb;0.06224;High
Blight;2019-10-12;Armourer's Scrap;Chaos Orb;0.05882;High
Blight;2019-10-13;Armourer's Scrap;Chaos Orb;0.05972;High
Blight;2019-10-14;Armourer's Scrap;Chaos Orb;0.0618;High
Blight;2019-10-15;Armourer's Scrap;Chaos Orb;0.06213;High
Blight;2019-10-16;Armourer's Scrap;Chaos Orb;0.06221;High
Blight;2019-10-17;Armourer's Scrap;Chaos Orb;0.05993;High
Blight;2019-10-18;Armourer's Scrap;Chaos Orb;0.05882;High
Blight;2019-10-19;Armourer's Scrap;Chaos Orb;0.05882;High
Blight;2019-10-20;Armourer's Scrap;Chaos Orb;0.05882;High
Blight;2019-10-21;Armourer's Scrap;Chaos Orb;0.05882;High
Blight;2019-10-22;Armourer's Scrap;Chaos Orb;0.05852;High
Blight;2019-10-23;Armourer's Scrap;Chaos Orb;0.058;High
Blight;2019-10-24;Armourer's Scrap;Chaos Orb;0.05807;High
Blight;2019-10-25;Armourer's Scrap;Chaos Orb;0.05711;High
Blight;2019-10-26;Armourer's Scrap;Chaos Orb;0.05811;High
Blight;2019-10-27;Armourer's Scrap;Chaos Orb;0.05838;High
Blight;2019-10-28;Armourer's Scrap;Chaos Orb;0.05837;High
Blight;2019-10-29;Armourer's Scrap;Chaos Orb;0.05835;High
Blight;2019-10-30;Armourer's Scrap;Chaos Orb;0.05783;High
Blight;2019-10-31;Armourer's Scrap;Chaos Orb;0.05676;High
Blight;2019-11-01;Armourer's Scrap;Chaos Orb;0.05557;High
Blight;2019-11-02;Armourer's Scrap;Chaos Orb;0.05822;High
Blight;2019-11-03;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-04;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-05;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-06;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-07;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-08;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-09;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-10;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-11;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-12;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-13;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-14;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-15;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-16;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-17;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-18;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-19;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-20;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-21;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-22;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-23;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-24;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-25;Armourer's Scrap;Chaos Orb;0.05807;High
Blight;2019-11-26;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-27;Armourer's Scrap;Chaos Orb;0.05556;High
Blight;2019-11-28;Armourer's Scrap;Chaos Orb;0.05529;High
Blight;2019-11-29;Armourer's Scrap;Chaos Orb;0.05;High
Blight;2019-11-30;Armourer's Scrap;Chaos Orb;0.05;High
Blight;2019-12-01;Armourer's Scrap;Chaos Orb;0.05;High
Blight;2019-12-02;Armourer's Scrap;Chaos Orb;0.04883;High
Blight;2019-12-03;Armourer's Scrap;Chaos Orb;0.05;High
Blight;2019-12-04;Armourer's Scrap;Chaos Orb;0.05;High
Blight;2019-12-05;Armourer's Scrap;Chaos Orb;0.05256;High
Blight;2019-12-06;Armourer's Scrap;Chaos Orb;0.05489;High
Blight;2019-12-07;Armourer's Scrap;Chaos Orb;0.05;High
Blight;2019-12-08;Armourer's Scrap;Chaos Orb;0.05;High
